Node,Pl
3,370
8,398
10,226
12,193
13,204
14,381
15,-80
16,-54.2
17,-116.5
18,34.4
19,64.4
20,37.9
21,-69.8
22,17.39
23,63.5
27,324
28,38.47
29,28.31
30,101.2
31,72.5
32,52.7
33,45.17
34,14.18
35,54.48
36,31.96
38,14.76
40,52.88
41,39.2
43,41.5
44,16.32
45,20.02
46,65.31
47,4.82
48,33.76
49,6.82
50,99.7
52,218.2
54,70.34
56,25.29
57,48.48
59,84.43
60,244
62,-865.6
63,59.1
65,-26.3
67,22.54
68,40.42
71,29.87
72,427
77,26.41
78,79.12
80,15.76
81,50.88
82,62.28
84,37.9
85,40.52
86,50.73
87,16.91
88,60.6
90,50.21
91,51.24
92,36.12
93,103.8
94,164
95,117.2
96,119.2
97,22.84
98,151.1
100,23.21
102,16.54
103,322
104,31.52
105,24.84
107,35.41
111,65.41
113,32.7
115,17.32
116,56.08
117,101.9
122,47.28
123,165
124,-571
125,2000
126,-467
127,-52.6
132,159
133,30.1
134,17.46
135,20.06
136,20.06
137,20.06
139,10.1
140,13.58
142,27.09
143,21.07
144,12.37
145,10.83
146,21.33
147,216.4
148,120
150,4.8
151,24
152,6
153,4
154,28
155,12
156,8
157,32
158,16
159,8
160,14.4
161,32
162,20
