fbus,tbus,branch_x,branch_flowlimit
1,2,0.0321,613
1,3,0.0326,895
1,4,0.0621,470
1,5,0.0119,663
1,6,0.0133,900
2,7,0.0125,605
2,13,0.0417,610
3,14,1.0122,29
3,50,0.1699,169
3,103,1.8023,17
3,123,1.6719,18
3,124,0.6483,46
3,125,0.1139,257
4,112,0.0568,514
4,115,0.0185,500
4,119,0.0119,591
5,120,0.0224,644
5,129,0.0268,702
5,131,0.0127,710
7,8,0.0189,672
7,9,0.0169,637
8,10,1.0703,26
8,12,0.0574,159
8,13,0.4784,60
8,14,0.3956,74
8,15,1.7433,17
8,132,0.288,102
9,75,0.015,684
10,11,0.037,366
10,13,0.622,47
10,15,0.7033,42
10,60,1.2242,24
11,15,0.1793,162
11,46,0.1225,238
11,58,0.107,271
11,59,0.0471,350
12,2,0.0377,336
12,13,0.3137,89
12,14,0.6415,45
12,132,1.5773,18
13,15,0.3227,91
13,62,0.1221,240
14,72,0.0828,264
14,113,0.0382,235
14,132,0.0374,244
15,58,0.0732,344
15,60,1.6753,18
15,62,0.0588,359
15,63,1.4555,21
16,17,1.4373,19
16,18,0.107,184
16,27,0.8871,33
16,126,0.5132,56
16,127,0.5276,55
17,18,0.1013,209
17,19,0.7678,37
17,21,0.2665,109
17,127,0.2637,111
18,30,0.1088,220
18,32,0.122,219
18,37,0.0456,225
19,21,1.9005,16
19,38,0.125,219
19,43,0.2572,112
19,127,0.6809,43
20,53,0.114,75
20,157,0.0279,44
21,22,0.1629,177
21,127,0.6414,46
22,38,0.054,190
22,39,0.0493,225
22,40,0.0717,189
22,41,0.085,213
23,24,0.0511,167
23,60,0.3093,93
24,25,0.034,225
24,28,0.0725,166
24,45,0.0725,220
25,26,0.0583,501
25,27,0.041,618
26,74,0.0607,481
26,75,0.0322,661
26,76,0.0082,1250
27,31,0.1273,230
27,62,0.581,51
27,65,0.2764,107
27,125,1.6845,18
27,126,0.0225,646
27,127,1.4355,21
28,29,0.0965,193
29,30,0.15,177
29,31,0.0833,194
30,32,0.1005,194
32,33,0.0448,191
33,34,0.114,180
33,35,0.107,214
33,36,0.0536,220
34,40,0.1517,188
34,77,0.0896,189
35,40,0.1341,179
36,67,0.0924,220
37,39,0.0379,630
37,126,0.0381,624
37,127,0.0403,641
39,42,0.0186,617
40,81,0.345,81
40,82,0.019,209
41,81,0.372,79
41,83,0.0256,213
41,84,0.058,301
42,109,0.0196,648
43,44,0.0751,193
43,103,0.1702,170
43,124,0.1766,164
43,125,0.6509,44
44,102,0.05,180
44,103,0.051,180
45,54,0.057,220
46,47,0.1378,177
47,48,0.1114,177
47,49,0.012,193
48,50,0.166,174
48,51,0.13,171
48,52,0.168,167
49,87,0.068,423
50,51,0.09,168
50,123,1.8543,16
50,125,0.6031,48
51,141,0.1,171
52,79,0.2126,133
52,106,0.0717,171
52,116,0.0487,270
52,117,0.0493,198
52,118,0.052,200
53,11,0.02,375
53,54,0.1961,149
53,55,0.0026,219
54,56,0.091,219
54,57,0.1237,213
55,57,0.1763,161
55,149,0.0671,202
55,162,0.0189,209
56,67,0.0894,220
57,80,0.1037,180
58,61,0.1018,276
59,61,0.0706,351
60,61,0.0653,100
60,61,0.0393,200
60,62,0.964,29
60,65,0.4144,69
60,126,1.8295,16
61,62,0.2275,128
61,63,0.0422,345
62,63,0.1702,172
62,65,0.074,396
62,126,0.2969,99
63,65,1.96,15
64,65,0.0571,512
64,66,0.0381,684
65,126,0.1536,191
66,11,0.0118,500
67,68,0.1013,220
68,69,0.0353,218
69,77,0.0374,189
69,78,0.0434,180
69,79,0.0433,273
70,73,0.0197,495
70,149,0.0018,284
70,149,0.0018,284
71,85,0.1506,191
71,150,0.097,213
72,113,0.013,232
72,132,0.0168,234
72,152,0.18,160
74,119,0.031,639
75,128,0.0087,665
75,130,0.0242,578
78,79,0.0336,245
78,80,0.093,180
79,74,0.018,500
82,83,0.0249,208
84,93,0.0826,245
85,86,0.1046,214
86,87,0.112,255
86,88,0.228,127
88,96,0.25,48
88,106,0.0468,173
89,86,0.057,90
89,90,0.134,69
90,96,0.359,73
91,92,0.0819,220
91,93,0.0895,239
91,94,0.0957,245
92,102,0.061,194
93,42,0.026,400
93,108,0.0154,600
94,103,0.1333,217
94,107,0.1891,148
94,109,0.035,300
95,91,0.0458,250
95,96,0.212,109
95,97,0.2809,58
95,98,0.043,168
95,99,0.0685,150
96,100,0.161,69
96,101,0.1031,96
97,44,0.1007,84
98,93,0.0214,504
98,105,0.293,69
100,104,0.145,69
103,123,0.751,38
103,124,0.0167,1757
103,125,0.1972,148
104,34,0.0637,106
105,38,0.116,45
106,107,0.0611,171
107,122,0.0621,210
109,119,0.0577,506
109,124,0.0222,671
109,125,0.062,471
110,111,0.099,180
110,112,0.0185,500
110,114,0.0768,150
110,134,0.0256,268
110,141,0.0649,171
111,115,0.2215,129
112,120,0.0044,601
112,121,0.019,720
113,132,0.2911,100
113,134,0.0072,284
115,117,0.0154,270
116,117,0.0391,271
116,119,0.009,1000
116,147,0.0286,271
117,147,0.0175,268
120,14,0.0188,500
120,128,0.0051,717
120,129,0.0038,715
122,123,0.0835,210
123,125,0.2441,119
124,125,0.1585,185
124,126,0.8256,36
125,126,0.5915,50
126,127,0.7049,42
128,72,0.018,500
129,132,0.0198,500
133,134,0.041,160
133,135,0.0259,44
133,136,0.099,39
133,137,0.0504,60
135,138,0.1182,39
136,139,0.065,39
137,140,0.0156,60
138,110,0.041,160
138,139,0.065,39
138,140,0.0941,60
138,145,0.2338,39
142,51,0.1728,83
142,143,0.3919,44
142,146,0.3861,44
143,144,0.2322,44
144,141,0.082,80
144,145,0.221,39
144,146,0.2906,60
148,116,0.041,160
149,26,0.0386,300
149,26,0.0386,300
149,150,0.0085,276
149,151,0.0262,247
149,152,0.1168,207
151,161,0.0138,244
153,70,0.0916,93
153,70,0.0916,93
153,154,0.2841,50
153,155,0.1856,66
154,156,0.0379,50
154,160,0.0429,50
155,156,0.0822,66
156,157,0.1273,33
157,55,0.0827,150
157,158,0.1404,50
158,159,0.0664,50
159,160,0.0811,50
161,162,0.0103,208
